PP-wave time shift, SS-wave time shift
1.1,-0.1
-0.9,-2.3
-1.5,-11.6
-1.6,-1.1
-28.15,-5.8
-4.2,-2.8
-3.7,-5.9
-1.7,-6.4
-1.5,-54.25
-0.9,-3.8
-7.6,-11.6
3.4,1.0
3.4,4.7
-9.2,-9.9
11.5,8.9
10.6,6.6
-3.9,-11.8
-26.75,4.3
-3.1,0.1
0.7,1.0
-4.1,-6.8
-2.5,-7.7
-2.4,-5.4
-2.3,1.3
2.5,-15.2
-7.5,2.4
-2.9,-1.6
-1.5,1.8
-2.6,-8.6
-5.1,-11.3
18.3,-3.4
-2.5,-3.2
-4.1,-12.0
0.3,3.5
-5.0,-14.7
-8.7,18.7
-19.9,6.0
-2.7,-4.6
-4.4,-5.2
-1.0,-34.35
-1.3,-1.1
1.9,-0.2
4.7,-1.0
-3.6,5.8
-3.6,5.9
-2.6,-5.7
-2.8,-6.3
-1.3,4.4
-3.4,-2.0
-1.1,-1.7
-15.2,-16.0
-2.7,14.1
3.1,-2.4
8.7,11.1
0.5,0.4
-42.35,-7.1
0.9,-1.1
5.0,-4.0
-8.5,0.4
-0.8,-6.2
-1.5,-2.0
0.3,-2.0
4.5,-3.8
-10.5,-11.5
-3.1,-13.7
-7.9,-7.3
-7.7,6.5
2.5,2.9
1.8,-9.9
5.4,6.3
-0.2,-1.0
1.7,4.3
-0.4,5.8
-0.4,5.8
-0.5,13.2
1.1,-3.0
-8.4,-14.8
-3.1,22.6
-4.3,3.6
-7.5,1.7
-3.0,-7.0
1.3,1.3
22.5,-13.4
-4.2,-19.2
-7.8,2.2
-1.4,-6.7
-1.8,-3.9
-1.5,-4.4
-2.3,-8.7
-3.1,-10.7
-9.5,-9.0
-13.1,-11.7
-1.3,12.2
-1.7,-13.5
-5.8,-13.0
-7.2,-4.3
-5.6,0.8
-4.8,-10.5
-6.6,-17.2
-5.1,-10.2
-6.1,-9.3
-6.3,-14.6
-4.5,-10.4
-5.0,-8.5
-4.9,-11.7
3.0,-1.9
-4.1,-5.9
1.2,-7.7
-3.2,3.1
-3.9,-5.8
-4.3,-5.9
-3.8,-2.6
-21.3,-8.9
3.0,2.7
3.6,7.3
