Pdiff-wave time shift, Sdiff-wave time shift, Source lattitude,            Source longitude, Receiver lattitude, Receiver longitude,            Midpoint lattitude, Midpoint longitude
-28.15,-5.8,51.7,-174.9,17.417,78.553,48.0136704625,115.977446295
-26.75,4.3,-21.71,-179.6,34.9459,-106.457,8.24159460176,-145.675439099
2.5,-15.2,-0.71,-13.81,43.9562,42.6888,24.1921611998,9.45978382512
18.3,-3.4,18.36,-106.01,82.5033,-62.35,51.3642491785,-101.064963442
-8.7,18.7,9.76,-85.43,49.6919,11.2217,39.9967282651,-50.1818614454
-19.9,6.0,9.76,-85.43,21.42,-158.011,19.1170095636,-120.528287856
-2.7,14.1,23.8,-45.29,-27.1267,-109.334,-1.96736488089,-76.8186484674
-7.7,6.5,-55.81,-123.21,34.4408,-119.715,-10.7421779396,-121.13198263
-3.1,22.6,45.61,151.45,49.1448,12.8803,71.9350248418,87.2196620462
22.5,-13.4,-6.31,103.21,43.9562,42.6888,21.5042512533,78.2586875961
-5.5,17.7,44.69,149.68,49.3913,11.652,71.47734467,87.2059039414
-1.5,-26.95,33.4,138.09,51.4455,7.2643,64.5274518945,90.2294216475
-11.1,17.1,-45.04,166.73,18.8141,98.9443,-15.663693959,127.285934544
-10.7,10.3,14.39,-93.47,49.6919,11.2217,44.8601878334,-55.5534983718
0.0,22.9,-6.04,146.11,-89.9954,115.0,-48.1464416729,146.107604084
19.5,-28.95,0.63,125.71,43.9562,42.6888,28.526089951,92.3713215479
-7.0,23.5,40.62,143.94,51.3077,13.0026,67.7293289595,90.409585512
-4.4,18.2,40.62,143.94,48.1639,11.2768,67.5308895957,85.9634882198
-4.9,21.5,-2.16,99.6,-9.4387,159.947,-6.70754317864,129.55957977
1.0,26.25,-2.16,99.6,69.5049,88.4414,33.8608070887,96.7059603231
4.5,-9.5,-4.03,135.46,-69.0067,39.585,-44.5325469803,115.069219079
21.4,0.8,-42.94,171.47,-69.0067,39.585,-70.8965740829,143.007089248
-8.4,3.1,15.16,-97.2,48.2163,7.15896,44.5038947502,-58.2585178675
-7.1,3.9,15.16,-97.2,50.2236,8.4489,45.8272168726,-59.2998956469
-4.4,23.0,44.62,149.39,49.1448,12.8803,70.8038660427,87.1586339667
27.15,0.3,22.48,118.72,-18.233,-178.815,2.48857473071,150.428143587
1.3,27.45,22.48,118.72,-18.9792,-169.876,2.16089009517,154.896010673
-23.9,10.0,-17.7,167.65,37.8762,-122.236,12.2775986352,-161.042771563
-7.4,16.8,-17.7,167.65,-89.9954,115.0,-53.9443064838,167.646151923
-3.6,-28.45,18.18,-101.39,55.3167,-3.205,47.681362682,-68.3985798271
-5.2,27.95,40.73,143.65,51.3077,13.0026,67.6694170349,90.0898996647
-4.1,14.2,51.31,179.16,50.6461,11.6161,84.9740009276,91.6486782382
21.5,-5.8,34.78,134.99,34.1484,-118.171,49.093663864,-171.299487272
21.6,-5.8,34.78,134.99,34.1484,-118.171,49.093663864,-171.299487272
20.0,-5.5,34.78,134.99,33.6092,-116.455,49.3899209052,-170.181376166
-6.8,6.7,-20.71,-179.13,-69.0067,39.585,-61.802995346,161.960125211
-21.6,-10.8,-4.37,134.39,-69.0067,39.585,-44.5304108581,114.087270289
-26.55,11.3,40.43,-125.74,-16.2879,-68.1307,13.7290354737,-93.3178624774
-8.4,14.6,40.43,-125.74,-11.9875,-76.8422,15.5707313689,-98.0586431674
9.1,-12.4,40.43,-125.74,45.279,4.542,65.5946941812,-65.4320775854
-9.8,-1.4,-61.08,-20.21,-35.3187,148.996,-76.4136047787,134.080667385
-27.55,-8.9,45.8,151.46,41.653,-76.922,66.7921645895,-138.334856002
-27.45,-7.8,45.8,151.46,41.3915,-78.1262,66.2091815173,-138.809189476
3.4,-28.15,12.08,125.77,55.1146,36.5674,42.1755101835,95.6102128431
2.5,-29.95,12.2,126.24,55.1146,36.5674,42.3430116939,95.9480492529
1.9,-29.95,11.44,125.96,55.1146,36.5674,41.8643377808,95.8086425237
-10.0,2.1,19.05,-107.57,51.4455,7.2643,51.4172251361,-67.9121420236
-26.0,-6.6,21.89,99.22,53.2452,-6.3762,50.8184337164,62.2538934697
1.7,-27.65,-23.02,-70.96,41.653,-76.922,9.35523679516,-73.6323806086
-13.8,-9.1,26.13,-110.27,45.279,4.542,52.7347590623,-63.5672547839
-26.85,-7.3,-48.05,99.2,27.057,142.203,-11.2904696952,123.903478688
-1.3,24.9,-10.62,-78.47,-69.0067,39.585,-52.1163986993,-57.2052561359
-7.4,28.85,38.06,29.68,45.7032,-75.4776,55.8363276348,-18.4364772333
0.7,-19.8,38.06,29.68,-15.9588,-5.7457,11.6070426433,10.1541970839
-1.4,15.5,-2.55,-77.53,48.3311,8.3303,29.6348610496,-45.1497055031
-22.9,-7.3,-1.93,101.31,50.3502,16.3222,30.9573628251,70.2100209686
-21.6,-7.8,-1.93,101.31,49.7766,17.5428,30.4194216136,70.303358213
-17.4,-9.7,-1.93,101.31,55.1146,36.5674,30.3669806243,78.6938870844
-6.5,17.5,28.06,130.18,48.9962,11.5213,56.6429345546,84.7431276142
-1.4,-22.7,28.06,130.18,-21.1837,-175.21,3.87736591296,158.295608168
-28.45,-3.4,28.21,130.16,-32.9277,117.239,-2.38016618475,123.856666587
-0.1,-24.3,-29.11,-71.68,40.0439,-84.3725,5.51823240435,-77.6074977877
-18.9,9.0,-29.11,-71.68,41.732,-122.71,7.00935567786,-95.052069775
-26.0,-5.7,2.0,94.77,-16.3023,179.45,-9.65501230529,136.060036126
-23.8,-0.5,44.52,149.35,33.63,-116.848,49.8652825911,-159.036867815
-6.4,18.2,44.43,149.23,48.3311,8.3303,72.2641243154,84.5130735071
-7.0,28.45,44.43,149.23,54.0125,23.1808,68.3137913122,96.9894680825
-5.0,16.3,44.43,149.23,50.2236,8.4489,72.6500488535,87.5768447224
-6.0,12.5,44.48,149.26,37.9304,58.1189,51.356516932,100.773404418
-9.2,29.15,44.48,149.26,54.0125,23.1808,68.3437716427,96.9653154435
-4.7,13.2,44.49,149.94,37.9304,58.1189,51.5309914664,101.07358959
-4.4,17.9,44.49,149.94,52.4278,13.358,71.5624769694,92.7506794237
-4.6,23.3,44.49,149.94,48.1639,11.2768,71.3439888672,85.6845032449
20.2,0.0,44.49,149.94,38.6694,-89.3255,60.843395576,-145.172453887
-6.3,23.0,44.49,149.94,39.496,9.378,69.38947492,73.4254959302
-8.5,16.2,44.37,150.12,51.3077,13.0026,71.471871328,91.2117542377
-8.8,19.7,44.37,150.12,51.8429,10.3741,72.5628160766,91.4563926792
-8.5,12.1,44.37,150.12,53.465,9.9247,73.013799653,94.134234822
-9.1,19.1,44.37,150.12,50.6461,11.6161,71.8451057858,89.8239616069
-7.0,21.7,44.37,150.12,39.496,9.378,69.4375145568,73.6471003465
11.1,-1.9,37.32,142.31,37.9189,-122.152,48.9496402193,-170.174354838
11.3,-2.6,37.32,142.31,37.3416,-121.643,48.7941898191,-169.675649767
-6.0,26.55,52.16,-168.62,53.6762,70.6152,69.5308664792,132.75788597
-4.6,20.5,52.16,-168.62,43.9553,42.6863,75.8805286243,101.16910823
-2.2,20.8,-22.32,-113.28,40.8777,-124.077,9.34459590203,-118.136569048
0.3,29.05,-22.32,-113.28,44.5855,-123.305,11.2072733483,-117.641645082
-1.0,16.9,-22.32,-113.28,40.346,-121.607,9.060564628,-117.042427321
21.6,-1.2,30.47,131.29,33.65,-117.009,48.1954566855,-174.322616739
21.8,-0.7,30.47,131.29,33.7141,-116.712,48.3397219524,-174.213846506
27.45,-4.8,31.78,131.78,33.6208,-116.466,48.9216960473,-173.212006683
28.05,-5.7,31.78,131.78,33.4915,-116.667,48.7782141255,-173.246421747
27.35,-4.1,31.78,131.78,33.65,-117.009,48.7392683442,-173.488825227
27.55,-5.4,31.78,131.78,33.5813,-116.45,48.9062339423,-173.184970439
27.45,-3.5,31.78,131.78,33.7141,-116.712,48.8820352643,-173.376468588
28.95,1.7,31.78,131.78,34.1484,-118.171,48.5901498893,-174.289490185
27.55,-5.0,31.78,131.78,33.6116,-116.459,48.9192961084,-173.20412465
27.35,-4.9,31.78,131.78,33.6327,-116.445,48.9358218352,-173.207670084
27.75,-5.3,31.78,131.78,33.5519,-116.613,48.8306305365,-173.249567838
28.85,0.9,31.78,131.78,34.0192,-118.286,48.4797481364,-174.28255187
0.5,-29.35,28.11,143.72,38.0345,-120.387,44.1899163505,-171.906459704
-2.3,21.6,18.34,-102.58,62.031,129.68,57.7453923593,-131.89147882
-3.5,11.4,-7.27,105.41,62.031,129.68,27.9223250848,113.155183161
-8.8,1.9,18.96,-107.15,64.7474,-21.3268,49.1586560799,-83.5722425386
-8.8,2.0,18.96,-107.15,64.7474,-21.3268,49.1586560799,-83.5722425386
2.3,-25.7,18.96,-107.15,-51.5678,-72.6199,-17.0543668201,-93.5510537467
0.6,-22.4,18.96,-107.15,-64.7744,-64.0489,-24.2989057248,-94.0895151557
13.6,-0.8,33.58,60.02,-24.8382,27.1092,4.56849009662,42.8446219826
13.4,-0.3,33.58,60.02,-24.8469,28.1618,4.55179034559,43.3957769221
14.2,0.6,33.58,60.02,-23.8722,27.1662,5.07193423455,42.8104415527
13.9,1.1,33.58,60.02,-23.8628,28.1567,5.06413938651,43.329985058
-19.4,8.1,-35.92,-107.96,37.8762,-122.236,0.989365226907,-115.006356958
-19.6,7.6,-35.92,-107.96,37.9189,-122.152,1.01087144879,-114.962840323
-28.3,-10.8,51.31,-179.2,54.9595,37.7664,76.5424419878,116.512058947
-2.3,13.9,-30.22,-72.21,-23.0059,29.0743,-38.3609202213,-19.371123167
-5.2,24.2,15.86,-98.26,54.5477,13.3214,49.794683495,-62.4369541478
-26.8,-1.3,-30.64,-72.41,41.7649,-74.6701,5.58295323953,-73.4597752662
-26.95,-3.1,-30.64,-72.41,41.6677,-73.8955,5.53352364154,-73.1005488164
-25.1,-5.0,-15.31,-175.38,68.3065,-133.525,27.8640498875,-164.112427092
-7.2,23.6,53.68,161.96,40.3997,-7.5442,81.845257787,23.5762055024
-7.2,23.6,53.68,161.96,40.3997,-7.5442,81.845257787,23.5762055024
-4.1,25.6,53.68,161.96,33.6506,73.2686,52.8267632252,108.286167237
-7.0,18.0,53.68,161.96,36.637,-6.175,79.7809008953,22.548384919
-5.0,10.5,51.25,178.92,54.0125,23.1808,80.8013844948,109.390342741
-18.7,7.8,-31.25,-71.87,40.5328,-108.441,4.90447135675,-89.0472081339
-9.0,7.0,-15.49,-179.15,57.7828,-152.583,21.702384354,-169.740531814
-16.8,1.3,-15.49,-179.15,-63.247,-62.1808,-53.5856117193,-151.252660421
-21.3,-0.3,-15.49,-179.15,-62.4798,-59.6641,-54.0878228396,-150.447184433
-25.7,-9.9,-15.49,-179.15,34.0313,108.924,11.420294504,148.000969525
-10.7,-2.8,-22.39,179.29,-71.6707,-2.8379,-65.4495397865,-179.610841738
-27.45,-6.7,-4.54,129.05,23.5225,45.5032,12.6592809369,89.4041965573
-5.2,18.6,-50.06,162.89,-21.1712,55.7399,-49.5664394574,95.3175935374
-25.7,21.3,-40.64,-75.37,-66.6649,140.002,-72.6212995984,-103.169512912
-1.1,16.3,-5.27,152.24,-49.351,70.2107,-34.029047134,121.495802797
-21.6,7.5,-22.27,-179.35,19.3297,-99.1781,-1.92727137342,-138.795926584
27.75,-9.1,0.33,119.63,-77.5172,161.853,-39.817404688,126.782397371
-12.4,23.0,-43.26,41.81,35.412,23.928,-3.98825270333,32.3638627421
-5.3,8.7,-17.6,-65.2,42.4481,-74.9301,12.4975479924,-69.4467977719
-7.3,4.5,-11.61,-13.89,48.3311,8.3303,18.7203157518,-4.92397057188
-6.0,14.6,-11.61,-13.89,60.8442,10.8865,25.1524188489,-5.70759603178
-5.5,15.2,-11.61,-13.89,61.2759,10.7629,25.3656772144,-5.82291992236
-16.6,-8.9,-11.61,-13.89,-69.0067,39.585,-42.8437948083,-0.29418421911
4.5,-25.2,-2.5,142.07,57.7828,-152.583,31.4966019987,163.738674225
-0.7,-27.45,-2.5,142.07,-77.8491,166.757,-40.659377022,146.303267637
28.75,11.6,-2.5,142.07,43.8138,87.7049,22.9435990223,119.601582974
2.0,22.5,-2.5,142.07,62.031,129.68,29.9630506786,138.113225564
-25.7,-4.0,-2.72,138.99,42.6564,74.9478,23.1551358159,112.373361245
-4.4,12.0,-0.57,-80.48,6.67016,-4.85656,3.86527719907,-42.8173511108
-7.2,12.5,11.58,-88.55,61.2759,10.7629,46.7033736564,-60.7641855183
-19.7,6.0,-29.56,-71.97,44.5855,-123.305,8.34989063634,-94.9043970416
29.05,-3.8,-8.36,112.4,-34.2945,19.246,-29.5543071281,71.2278024978
-20.1,-3.2,-7.05,128.75,23.5225,45.5032,10.981779661,89.1307919152
9.9,-10.9,-6.94,128.95,2.0448,-157.446,-3.06084682005,165.895167576
23.8,-29.15,30.56,131.23,66.9967,-50.6156,71.8426294031,132.766525703
5.2,-8.2,-3.51,145.01,56.2584,162.711,26.6845176521,151.328449696
-1.3,26.35,-6.5,147.03,42.2275,74.5134,21.7329000473,116.858575593
-15.7,16.5,-5.43,152.82,60.4461,166.149,27.7201034159,157.233474442
-19.5,8.2,-5.86,104.46,-21.359,14.749,-18.891752697,61.4734655739
-14.8,15.4,-16.08,168.19,42.015,143.157,13.2991748027,157.292877016
-0.6,27.15,-16.08,168.19,59.5756,150.77,22.0315646438,162.189585
-26.75,-10.1,23.83,120.84,21.42,-158.011,28.7924324589,161.842575118
-26.75,-10.2,23.83,120.84,21.42,-158.011,28.7924324589,161.842575118
-1.7,19.4,40.93,31.25,36.5457,138.204,53.4570573734,87.0936135548
-2.7,-23.5,57.35,-154.35,37.8433,30.5093,80.059388205,40.8102016774
-1.5,-29.95,57.35,-154.35,40.6222,43.0687,78.9398981391,76.6035695521
-1.1,-29.05,57.35,-154.35,40.2227,43.0094,78.7781691518,75.9936859539
4.6,-13.1,-16.84,-173.81,42.1546,-107.504,15.0170469454,-145.383940101
-5.0,10.3,43.08,146.81,41.6784,-73.2244,69.4748901506,-141.457242055
19.8,-9.7,43.08,146.81,41.9816,-107.433,56.697637841,-159.647984253
-6.3,15.8,14.84,-93.02,51.4455,7.2643,44.691415337,-57.3393973233
-3.8,11.8,14.84,-93.02,46.8468,9.00825,42.9642677716,-53.9156486632
2.8,24.4,-23.72,-66.85,40.8091,-106.944,9.11034292906,-84.9223160899
-29.15,18.4,-4.31,123.56,37.823,40.3186,21.8950521863,87.799871203
-4.3,14.4,-4.31,123.56,15.3548,44.1999,7.17507438673,84.6723811693
-11.0,-1.3,26.7,97.15,48.9962,11.5213,46.4090771796,62.3830141703
8.8,-15.4,24.02,120.9,9.035,38.767,21.5116397056,77.8952844493
8.6,-19.5,24.02,120.9,10.308,37.729,22.4677344116,77.4360664352
-24.5,-7.7,24.02,120.9,21.423,-158.015,28.8952620109,161.90546804
-24.6,-7.9,24.02,120.9,21.42,-158.011,28.8942085802,161.908001733
-24.6,-8.0,24.02,120.9,21.42,-158.011,28.8942085802,161.908001733
6.5,-10.9,-50.8,139.38,16.7329,-169.529,-18.7367273737,170.499355442
-16.3,7.3,-25.45,178.38,32.8927,-116.423,4.42888427135,-150.346474719
-14.2,-5.6,63.99,-20.47,34.6871,-118.299,59.1681734584,-88.5891844234
-14.0,-4.8,63.99,-20.47,37.8762,-122.236,61.5448940842,-90.6747121765
-14.0,-4.8,63.99,-20.47,37.8735,-122.261,61.5488645739,-90.6962422378
-12.8,-5.4,63.99,-20.47,34.3334,-118.026,58.9379110896,-88.479176076
-12.0,1.2,63.99,-20.47,18.8141,98.9443,56.0562698727,71.3060970069
-13.3,-5.6,63.99,-20.47,33.4019,-118.415,58.5569881191,-89.084037055
-13.2,-3.1,63.99,-20.47,35.8157,-117.598,59.5803513515,-87.6530431708
-13.7,-4.8,63.99,-20.47,38.0345,-120.387,61.2346751485,-89.109402556
-12.7,-5.9,63.99,-20.47,33.5654,-116.737,58.2963402628,-87.6671309549
-12.6,-4.5,63.99,-20.47,36.277,-117.594,59.8056949193,-87.4944234252
-12.6,-3.5,63.99,-20.47,33.936,-116.578,58.4478030065,-87.4272127567
