Pdiff-wave time shift, Sdiff-wave time shift, Source lattitude,            Source longitude, Receiver lattitude, Receiver longitude,            Midpoint lattitude, Midpoint longitude
-8.7,18.7,9.76,-85.43,49.6919,11.2217,39.9967282651,-50.1818614454
-2.7,14.1,23.8,-45.29,-27.1267,-109.334,-1.96736488089,-76.8186484674
-3.1,22.6,45.61,151.45,49.1448,12.8803,71.9350248418,87.2196620462
-5.5,17.7,44.69,149.68,49.3913,11.652,71.47734467,87.2059039414
0.0,22.9,-6.04,146.11,-89.9954,115.0,-48.1464416729,146.107604084
-7.0,23.5,40.62,143.94,51.3077,13.0026,67.7293289595,90.409585512
-4.4,18.2,40.62,143.94,48.1639,11.2768,67.5308895957,85.9634882198
-7.3,23.8,40.62,143.94,53.465,9.9247,69.3241682755,92.7982191904
-6.0,22.8,40.62,143.94,50.2236,8.4489,69.1748602037,87.9335320675
-4.9,21.5,-2.16,99.6,-9.4387,159.947,-6.70754317864,129.55957977
-4.4,23.0,44.62,149.39,49.1448,12.8803,70.8038660427,87.1586339667
-7.4,16.8,-17.7,167.65,-89.9954,115.0,-53.9443064838,167.646151923
-5.2,27.95,40.73,143.65,51.3077,13.0026,67.6694170349,90.0898996647
-4.1,14.2,51.31,179.16,50.6461,11.6161,84.9740009276,91.6486782382
-8.4,14.6,40.43,-125.74,-11.9875,-76.8422,15.5707313689,-98.0586431674
-1.3,24.9,-10.62,-78.47,-69.0067,39.585,-52.1163986993,-57.2052561359
-7.4,28.85,38.06,29.68,45.7032,-75.4776,55.8363276348,-18.4364772333
-1.4,15.5,-2.55,-77.53,48.3311,8.3303,29.6348610496,-45.1497055031
-6.5,17.5,28.06,130.18,48.9962,11.5213,56.6429345546,84.7431276142
-6.4,18.2,44.43,149.23,48.3311,8.3303,72.2641243154,84.5130735071
-7.0,28.45,44.43,149.23,54.0125,23.1808,68.3137913122,96.9894680825
-5.0,16.3,44.43,149.23,50.2236,8.4489,72.6500488535,87.5768447224
-6.0,12.5,44.48,149.26,37.9304,58.1189,51.356516932,100.773404418
-9.2,29.15,44.48,149.26,54.0125,23.1808,68.3437716427,96.9653154435
-4.7,13.2,44.49,149.94,37.9304,58.1189,51.5309914664,101.07358959
-4.4,17.9,44.49,149.94,52.4278,13.358,71.5624769694,92.7506794237
-4.6,23.3,44.49,149.94,48.1639,11.2768,71.3439888672,85.6845032449
-6.3,23.0,44.49,149.94,39.496,9.378,69.38947492,73.4254959302
-8.5,16.2,44.37,150.12,51.3077,13.0026,71.471871328,91.2117542377
-8.8,19.7,44.37,150.12,51.8429,10.3741,72.5628160766,91.4563926792
-8.5,12.1,44.37,150.12,53.465,9.9247,73.013799653,94.134234822
-9.1,19.1,44.37,150.12,50.6461,11.6161,71.8451057858,89.8239616069
-7.0,21.7,44.37,150.12,39.496,9.378,69.4375145568,73.6471003465
-6.0,26.55,52.16,-168.62,53.6762,70.6152,69.5308664792,132.75788597
-4.6,20.5,52.16,-168.62,43.9553,42.6863,75.8805286243,101.16910823
-2.2,20.8,-22.32,-113.28,40.8777,-124.077,9.34459590203,-118.136569048
-1.0,16.9,-22.32,-113.28,40.346,-121.607,9.060564628,-117.042427321
-2.3,21.6,18.34,-102.58,62.031,129.68,57.7453923593,-131.89147882
-3.5,11.4,-7.27,105.41,62.031,129.68,27.9223250848,113.155183161
-2.3,13.9,-30.22,-72.21,-23.0059,29.0743,-38.3609202213,-19.371123167
-5.2,24.2,15.86,-98.26,54.5477,13.3214,49.794683495,-62.4369541478
-7.2,23.6,53.68,161.96,40.3997,-7.5442,81.845257787,23.5762055024
-7.2,23.6,53.68,161.96,40.3997,-7.5442,81.845257787,23.5762055024
-4.1,25.6,53.68,161.96,33.6506,73.2686,52.8267632252,108.286167237
-7.0,18.0,53.68,161.96,36.637,-6.175,79.7809008953,22.548384919
-5.0,10.5,51.25,178.92,54.0125,23.1808,80.8013844948,109.390342741
-5.2,18.6,-50.06,162.89,-21.1712,55.7399,-49.5664394574,95.3175935374
-1.1,16.3,-5.27,152.24,-49.351,70.2107,-34.029047134,121.495802797
-6.0,14.6,-11.61,-13.89,60.8442,10.8865,25.1524188489,-5.70759603178
-5.5,15.2,-11.61,-13.89,61.2759,10.7629,25.3656772144,-5.82291992236
-4.4,12.0,-0.57,-80.48,6.67016,-4.85656,3.86527719907,-42.8173511108
-7.2,12.5,11.58,-88.55,61.2759,10.7629,46.7033736564,-60.7641855183
-7.8,13.3,11.58,-88.55,61.2251,11.369,46.8217463268,-60.6328311106
-1.3,26.35,-6.5,147.03,42.2275,74.5134,21.7329000473,116.858575593
-0.6,27.15,-16.08,168.19,59.5756,150.77,22.0315646438,162.189585
-1.7,19.4,40.93,31.25,36.5457,138.204,53.4570573734,87.0936135548
-5.0,10.3,43.08,146.81,41.6784,-73.2244,69.4748901506,-141.457242055
-6.3,15.8,14.84,-93.02,51.4455,7.2643,44.691415337,-57.3393973233
-3.8,11.8,14.84,-93.02,46.8468,9.00825,42.9642677716,-53.9156486632
-4.3,14.4,-4.31,123.56,15.3548,44.1999,7.17507438673,84.6723811693
-6.0,27.65,20.35,121.91,64.8736,-147.862,50.7175445388,146.356302732
-6.5,27.65,33.92,139.44,34.1082,-119.066,46.90110815,-169.890456227
-6.0,25.6,33.92,139.44,34.2236,-118.058,47.2745141253,-169.436484198
-5.9,25.6,33.92,139.44,33.7435,-118.404,46.9090779901,-169.409042644
-6.0,22.8,33.92,139.44,33.2479,-119.524,46.2972408608,-169.77215966
-6.4,26.55,33.92,139.44,34.1561,-118.82,47.0023484758,-169.787679979
-5.7,11.8,48.77,142.03,33.6384,-116.401,53.939834386,-159.099630136
-5.9,10.8,48.77,142.03,34.9459,-106.457,57.5926709012,-153.174513421
-4.6,14.6,48.77,142.03,34.2623,-116.921,54.1080226561,-159.679245974
-5.2,23.4,48.77,142.03,34.0695,-116.389,54.1606629424,-159.262815169
-5.8,14.9,48.77,142.03,33.3882,-117.195,53.5899185935,-159.512186198
-4.6,18.4,48.77,142.03,33.0859,-116.596,53.6049069497,-159.010943618
-6.2,12.1,48.77,142.03,33.9753,-118.149,53.6220408805,-160.347197466
-4.6,19.9,48.77,142.03,33.3516,-116.562,53.7492519838,-159.091300695
-4.8,19.0,48.77,142.03,32.8927,-116.423,53.5556626177,-158.825401427
-5.2,21.8,48.77,142.03,34.2236,-118.058,53.7724138017,-160.386017454
-5.3,23.2,48.77,142.03,34.5118,-89.4092,63.4499564572,-140.724597771
-6.1,28.85,48.77,142.03,32.9799,-118.547,53.0076516282,-160.225259565
-5.7,19.8,48.77,142.03,33.2479,-119.524,52.8776125026,-160.947252724
-5.6,20.7,48.77,142.03,32.841,-117.248,53.2971259165,-159.338851458
-5.6,16.4,48.77,142.03,32.9451,-115.8,53.7594230512,-158.441848212
-6.5,28.35,48.77,142.03,37.0542,-118.23,55.135384594,-161.664053479
-4.6,21.1,48.77,142.03,31.9671,-103.707,57.0204845702,-149.873936562
-8.1,15.9,-16.88,174.54,47.8651,107.053,18.3857830353,147.470598129
-6.3,22.5,39.98,143.17,51.4455,7.2643,69.3463981273,89.4416536872
-2.4,26.55,39.98,143.17,29.6699,34.9512,49.8372724929,84.1206587263
-2.4,26.55,39.98,143.17,29.6699,34.9512,49.8372724929,84.1206587263
-4.7,25.9,39.98,143.17,49.3913,11.652,67.1722180595,87.6337502154
-6.3,20.0,39.98,143.17,47.2955,3.0736,70.1006229425,82.6294162796
-5.3,19.4,39.98,143.17,50.6461,11.6161,67.5209973331,89.2103880846
-7.3,20.1,39.98,143.17,54.0125,23.1808,64.4725966242,96.0159346781
-1.1,17.0,-15.51,166.77,64.7714,-146.887,26.3019776643,-179.436201555
-1.8,22.8,-4.37,152.87,64.8736,-147.862,33.2880848285,169.629937801
-6.2,24.2,13.98,-88.97,42.354,13.405,40.1971005448,-47.3023275531
-5.3,20.0,13.98,-88.97,39.5446,-4.3499,34.2045553398,-52.5815508778
-3.3,12.3,-22.11,169.87,37.4037,-122.239,9.21435798619,-159.131444439
-7.7,18.3,18.62,-104.57,52.3063,7.7592,50.6988338847,-66.1909863351
-3.9,22.9,44.18,148.61,50.8748,13.9469,70.3917202606,89.9548314892
-2.5,24.8,44.18,148.61,29.6699,34.9512,53.7197667543,83.4798181188
-2.5,24.8,44.18,148.61,29.6699,34.9512,53.7197667543,83.4798181188
-5.4,26.95,-6.94,146.34,43.8138,87.7049,20.8995377426,122.07697184
-10.0,19.1,56.26,163.93,49.6992,13.996,78.5280851054,73.1922258348
-0.8,16.6,-54.31,-136.75,33.2479,-119.524,-10.695454199,-126.595063584
-5.4,11.3,52.59,160.56,17.417,78.553,42.3991277433,108.669023339
-4.4,11.2,-17.84,167.82,7.2728,80.7022,-7.29157589572,123.144110984
-3.6,11.9,22.94,124.02,51.8429,10.3741,53.2915231832,83.9178099221
-6.1,15.9,22.94,124.02,64.8736,-147.862,51.6614992923,148.476991207
-7.9,16.5,22.94,124.02,76.7713,-18.655,61.2146814147,113.357275205
-7.9,16.5,22.94,124.02,76.7713,-18.655,61.2146814147,113.357275205
-6.5,11.4,22.94,124.02,57.0773,-4.96421,59.8416493698,87.8443337745
-4.4,11.7,22.94,124.02,54.1847,7.8839,54.9116077692,85.5843026885
-4.7,11.8,22.94,124.02,52.3063,7.7592,54.3169303398,83.8384547536
-4.0,12.2,8.7,-84.14,70.3522,-28.164,42.1999686405,-70.7890141212
-4.9,12.1,8.7,-84.14,61.3145,10.3263,44.1111777443,-57.3856561691
-5.7,11.8,8.7,-84.14,61.808,9.5719,44.1466465471,-57.8905664812
-6.6,14.2,8.7,-84.14,60.8442,10.8865,44.0452906225,-56.9310136926
-6.3,13.5,8.7,-84.14,61.0495,11.2939,44.2125196414,-57.018294305
-5.7,13.2,8.7,-84.14,61.2759,10.7629,44.1879262313,-57.2818451831
-6.4,13.0,8.7,-84.14,61.2251,11.369,44.2966537146,-57.1408940177
-4.7,15.4,8.7,-84.14,72.5763,-38.4539,42.3438138342,-73.9767443661
-4.7,15.4,8.7,-84.14,72.5763,-38.4539,42.3438138342,-73.9767443661
-3.8,11.5,29.35,139.25,63.2485,-42.0349,73.1186630819,140.625257539
-3.4,24.8,-20.86,-178.74,38.5,116.375,10.438018126,152.02299479
-3.8,11.2,-8.3,-71.66,39.5446,-4.3499,18.5581051235,-42.7067595176
-3.2,20.5,43.95,150.16,47.2505,15.5232,69.3041062566,86.8580123854
