Pdiff-wave time shift, Sdiff-wave time shift, Source lattitude,            Source longitude, Receiver lattitude, Receiver longitude,            Midpoint lattitude, Midpoint longitude
-19.4,10.0,-31.48,-72.03,42.7672,-109.558,5.97983795151,-89.3430961183
-19.0,10.2,-36.89,-73.75,37.954,-121.866,0.585088372948,-97.6268344294
-19.0,10.0,-36.49,-73.63,38.1448,-122.88,0.914040454013,-97.9667957795
-18.8,10.4,-36.63,-73.56,38.3453,-122.458,0.946146955804,-97.710841052
-19.4,11.7,-36.63,-73.56,40.8161,-121.461,2.30008052787,-96.7669523698
-18.7,10.7,-36.63,-73.56,38.1448,-122.88,0.83696008675,-97.9550827128
-18.6,10.2,-36.63,-73.56,39.2291,-121.786,1.42988196186,-97.2210204783
-19.0,11.1,-35.67,-73.61,40.9366,-115.919,2.83506227896,-93.9616324844
-19.0,11.1,-35.67,-73.61,40.8929,-115.824,2.81063496818,-93.9233890955
-19.0,11.1,-35.67,-73.61,40.7863,-115.652,2.75167331959,-93.8585644375
-19.2,10.7,-35.67,-73.61,40.6388,-116.006,2.67554155634,-94.0529379012
-19.4,10.8,-35.67,-73.61,40.5907,-115.951,2.64914626951,-94.0344677493
-19.4,10.8,-35.67,-73.61,40.5546,-115.918,2.62941658933,-94.0245621331
-19.5,10.8,-35.67,-73.61,40.5183,-115.844,2.60922185859,-93.9949513656
-19.5,11.1,-35.67,-73.61,40.4841,-115.78,2.59025556937,-93.9697767073
-19.5,11.1,-35.67,-73.61,40.4509,-115.747,2.57210499308,-93.9593325964
-18.7,10.7,-35.67,-73.61,40.8691,-116.212,2.80151540468,-94.1133764423
-19.1,11.5,-20.01,-71.05,42.7654,-111.1,12.1135353097,-88.5228373892
