Pdiff-wave time shift, Sdiff-wave time shift, Source lattitude,            Source longitude, Receiver lattitude, Receiver longitude,            Midpoint lattitude, Midpoint longitude
-7.7,3.2,-3.95,142.87,-27.1267,-109.334,-25.2846176644,-167.687441983
11.7,8.4,40.37,-124.61,-35.3187,148.996,3.48076822848,-169.646295433
8.9,-4.9,-0.71,-13.54,-66.6649,140.002,-54.4653777635,1.78634835868
-7.6,1.9,-0.71,-13.54,62.933,152.373,57.2248345558,-2.30633940926
-6.2,7.1,-0.71,-13.54,51.6807,103.644,40.6403634876,24.0845086595
-12.8,-4.4,1.45,129.38,51.8429,10.3741,42.690159846,91.6756672295
-12.7,-4.2,1.45,129.38,48.1639,11.2768,40.599483562,88.6997492199
-14.9,-2.2,1.45,129.38,48.9962,11.5213,40.9366319111,89.411804833
-13.6,-3.6,1.45,129.38,53.465,9.9247,43.5409394991,93.0839423514
25.7,-6.4,7.22,-76.39,43.9562,42.6888,42.4911257134,-31.9410385367
-10.2,6.1,7.22,-76.39,-41.3087,174.704,-27.4925910042,-119.923156846
-4.8,16.3,7.27,-76.34,-41.3087,174.704,-27.4701271069,-119.892459919
-12.6,3.7,-15.5,-179.54,41.2007,79.2165,19.6695037477,138.346620829
5.8,-9.5,-10.73,164.02,55.1146,36.5674,39.2887936295,128.415573215
5.9,-6.5,-10.73,164.02,45.279,4.542,52.4726351971,126.756289532
-10.6,-6.3,-60.33,-24.76,49.6919,11.2217,-5.62449074158,-4.297907731
21.4,-10.4,-56.45,-23.92,-20.0882,146.255,-71.0842999851,132.779414301
-14.3,-2.2,-25.21,-112.35,-32.9277,117.239,-52.9900990443,-172.928058387
21.6,4.0,-6.02,128.93,36.598,-121.403,25.2506650205,175.179571911
6.3,-7.1,0.63,125.71,48.2163,7.15896,40.2533484079,85.0128109029
25.9,-12.1,0.63,125.71,49.6919,11.2217,39.6142685319,86.8533177357
12.7,-3.1,-20.39,169.94,37.9304,58.1189,15.367285349,121.267222971
-10.7,2.9,-0.88,-23.03,34.0313,108.924,35.7766004976,31.0996488291
-5.4,20.6,-4.03,135.46,-27.1267,-109.334,-27.5089768085,-172.052670167
-12.6,-10.5,-17.7,167.65,76.2417,-119.36,32.6611501351,-179.788702028
-11.9,-13.7,-1.19,127.87,-64.7744,-64.0489,-57.6876174803,136.475322136
21.3,-3.4,-1.13,127.94,63.7469,-68.5451,56.2997175004,140.261568463
5.7,-16.0,13.44,121.32,-64.7744,-64.0489,-50.9522747855,125.481035114
11.6,-6.7,-4.18,135.1,49.3913,11.652,39.4743187235,94.6857459643
11.7,-8.1,-4.18,135.1,48.9962,11.5213,39.3177292382,94.3194991084
12.0,-9.9,-4.18,135.1,50.6461,11.6161,40.1217664001,95.8228418819
29.05,-2.3,-61.08,-20.21,39.5545,-121.5,-16.2287305078,-86.4613162758
-9.8,3.4,-23.01,170.35,38.0557,-91.2446,11.4422918567,-145.59220944
-7.8,0.8,-23.01,170.35,54.725,-101.978,21.1477050138,-158.189299368
-7.3,5.4,-0.63,-21.87,40.0183,116.168,43.5830716441,28.0927193053
-6.3,10.2,-0.63,-21.87,51.6807,103.644,43.6748973226,16.4403966759
-7.5,7.3,-0.63,-21.87,47.8651,107.053,43.3313769197,20.2253597033
-11.5,-3.1,-55.89,-2.14,-9.4047,147.16,-59.8212684768,117.527274767
-10.9,-5.6,-61.85,154.46,-7.9327,-14.3601,-62.4518413872,-4.50170138397
